,Ticker,Date,Price,Shares Outstanding,Market Cap,EV,EBITDA,EV/EBITDA,D/E,BV/Share,Total Cash,Total Liabilities,Total Revenue,Operating Cash Flow,BS Recent Date,CF Recent Date,IS Recent Date
1399,TIC.V,"04/20/2020, 07:46:39",0.32,88400000.0,28290000.0,22780000.0,0.0,0.0,0,0.0,841.0,1785.0,0.0,-5398.0,2018-12-31,2018-12-31,2018-12-31
1400,TIG.V,"04/20/2020, 07:47:00",0.18,98350000.0,17700000.0,15780000.0,-5550000.0,0.0,0.0,0.0,225.0,220.0,0.0,-8392.0,2018-12-31,2018-12-31,2018-12-31
1401,TII.V,"04/20/2020, 07:47:20",4.5,5560000.0,25040000.0,123180000.0,0,0,0.0,0.0,0.0,108596.0,7708.0,501.0,2019-12-31,2019-12-31,2019-12-31
1402,TIL.V,"04/20/2020, 07:47:40",1.85,3190000.0,5900000.0,-5030000.0,3230000.0,0.0,0,0.0,0.0,44606.0,-222.0,-970.0,2018-12-31,2018-12-31,2018-12-31
1403,TIN-H.V,"04/20/2020, 07:48:01",0.01,106740000.0,1070000.0,1060000.0,0,0,0,0.0,193.0,2235.0,0.0,-56.0,2019-03-31,2019-03-31,2019-03-31
1404,TIP-H.V,"04/20/2020, 07:48:22",0.1,4050000.0,0.0,0.0,0,0,0,0.0,379.0,201.0,0.0,-67.0,2019-03-31,2019-03-31,2019-03-31
1405,TK.V,"04/20/2020, 07:48:42",0.125,340740000.0,42590000.0,37450000.0,-1980000.0,0.0,0,0.0,6861.0,1042.0,0.0,-1752.0,2019-09-30,2019-09-30,2019-09-30
1406,TKU.V,"04/20/2020, 07:49:03",0.065,11720000.0,0.0,0.0,0.0,0.0,0,0.0,62.0,247.0,0.0,-309.0,2019-09-30,2019-09-30,2019-09-30
1407,TKX.V,"04/20/2020, 07:49:29",0.045,74870000.0,3370000.0,6080000.0,-2100000.0,0.0,0,0.0,71.0,6390.0,6288.0,-1893.0,2019-09-30,2019-09-30,2019-09-30
1408,TLA.V,"04/20/2020, 07:49:49",0.33,28540000.0,9420000.0,0.0,0.0,0.0,0.0,0.0,9598.0,594.0,5571.0,-97.0,2019-08-31,2019-08-31,2019-08-31
1409,TLK.V,"04/20/2020, 07:50:09",0.47,31880000.0,14990000.0,12430000.0,-4580000.0,0.0,0,0.0,3542.0,21838.0,23677.0,-3202.0,2018-12-31,2018-12-31,2018-12-31
1410,TLL-H.V,"04/20/2020, 07:50:29",0.06,3120000.0,0.0,0.0,0,0,0,0.0,2.0,316.0,0.0,-21.0,2019-09-30,2019-09-30,2019-09-30
1411,TLT.V,"04/20/2020, 07:50:49",0.19,204280000.0,38810000.0,23990000.0,-4930000.0,0.0,0.0,0.0,1034.0,2566.0,1734.0,-1216.0,2018-12-31,2018-12-31,2018-12-31
1412,TLT-WT.V,"04/20/2020, 07:51:11",0.095,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Null,ttm,ttm
1413,TM.V,"04/20/2020, 07:51:32",0.08,90470000.0,7240000.0,7560000.0,-2760000.0,0.0,0,0.0,565.0,1814.0,0.0,-2722.0,2019-03-31,2019-03-31,2019-03-31
1414,TMG.V,"04/20/2020, 07:51:55",0.08,161890000.0,12950000.0,11130000.0,1080000.0,0.0,0.0,0.0,4177.0,9151.0,21083.0,570.0,2019-05-31,2019-05-31,2019-05-31
1415,TMS-H.V,"04/20/2020, 07:52:21",0.015,128020000.00000001,1920000.0,1740000.0,0,0,0,0.0,1.0,660.0,0.0,-467.0,2018-12-31,2018-12-31,2018-12-31
1416,TNA.V,"04/20/2020, 07:52:43",0.26,123810000.0,32189999.999999996,21330000.0,7440000.0,0.0,0.0,0.0,12150.0,11406.0,39406.0,6163.0,2018-12-31,2018-12-31,2018-12-31
1417,TNO-H.V,"04/20/2020, 07:53:05",0.03,34240000.0,1030000.0,1010000.0,0,0,0,0.0,17.0,147.0,0.0,-402.0,2019-03-31,2019-03-31,2019-03-31
1418,TNR.V,"04/20/2020, 07:53:29",0.03,157020000.0,4710000.0,9130000.0,0,0,0,0.0,106.0,5872.0,0.0,-518.0,2018-12-31,2018-12-31,2018-12-31
1419,TOE.V,"04/20/2020, 07:53:52",0.015,127300000.0,1910000.0,1890000.0,0.0,0.0,0.0,0.0,6.0,340.0,0.0,-268.0,2019-06-30,2019-06-30,2019-06-30
1420,TOM.V,"04/20/2020, 07:54:18",0.02,15780000.0,0.0,1100000.0,0,0,0,0.0,5.0,4845.0,0.0,4.0,2019-07-31,2019-07-31,2019-07-31
1421,TORQ.V,"04/20/2020, 07:54:38",0.42,77320000.0,32479999.999999996,21250000.0,-1060000.0,0.0,0,0.0,12438.0,297.0,0.0,-3155.0,2018-12-31,2018-12-31,2018-12-31
1422,TORR.V,"04/20/2020, 07:54:59",0.4,23980000.0,9590000.0,9360000.0,0,0,0,0.0,14679.0,245.0,4677.0,-257.0,2019-12-31,2019-12-31,2019-12-31
1423,TPC.V,"04/20/2020, 07:55:18",0.02,10510000.0,0.0,1500000.0,0.0,0.0,0,0.0,23.0,1942.0,834.0,-25.0,2018-12-31,2018-12-31,2018-12-31
